the index = 121
10 ____ 3,3 ____ 5,3 ____ 10,5 ____ 4,6 ____ 10,
4 ____ 2,10 ____ 3,7 ____ 3,2 ____ 2,2 ____ 4,
10 ____ 2,4 ____ 7,7 ____ 5,8 ____ 2,7 ____ 5,
9 ____ 1,2 ____ 8,7 ____ 0,8 ____ 10,2 ____ 0,
3 ____ 4,4 ____ 1,3 ____ 2,10 ____ 6,7 ____ 3,
3 ____ 0,2 ____ 8,10 ____ 0,10 ____ 3,8 ____ 5,
7 ____ 3,1 ____ 4,3 ____ 8,0 ____ 2,9 ____ 6,
2 ____ 5,7 ____ 3,8 ____ 10,9 ____ 9,1 ____ 3,
3 ____ 1,9 ____ 0,5 ____ 10,2 ____ 5,9 ____ 0,
5 ____ 2,0 ____ 6,3 ____ 6,4 ____ 0,9 ____ 5,
5 ____ 6,7 ____ 4,5 ____ 4,8 ____ 9,6 ____ 10,
1 ____ 7,0 ____ 9,1 ____ 5,3 ____ 5,3 ____ 0,
9 ____ 10,10 ____ 8,7 ____ 2,5 ____ 6,2 ____ 9,
5 ____ 9,8 ____ 0,10 ____ 1,3 ____ 8,9 ____ 7,
3 ____ 2,9 ____ 7,10 ____ 6,9 ____ 1,1 ____ 1,
8 ____ 6,3 ____ 4,4 ____ 5,1 ____ 2,10 ____ 2,
5 ____ 8,9 ____ 6,6 ____ 7,0 ____ 1,7 ____ 4,
5 ____ 4,1 ____ 8,0 ____ 1,6 ____ 10,5 ____ 3,
3 ____ 1,8 ____ 7,7 ____ 9,10 ____ 3,3 ____ 2,
10 ____ 7,7 ____ 10,3 ____ 1,1 ____ 6,0 ____ 7,
